RegionName,date,rent_index,rent_growth
"Seattle, WA",2020-04-30,2346.998759139786,-0.0007307529449464001
"Seattle, WA",2020-05-31,2347.146205336589,6.282329559348376e-05
"Seattle, WA",2020-06-30,2349.8932977557356,0.0011703968048095703
"Seattle, WA",2020-07-31,2360.566216867523,0.004541873931884766
"Seattle, WA",2020-08-31,2377.2561351856057,0.007070302963256836
"Seattle, WA",2020-09-30,2396.7494695403493,0.008199930191040039
"Seattle, WA",2020-10-31,2414.52750163378,0.007417559623718262
"Seattle, WA",2020-11-30,2427.313092714275,0.005295276641845481
"Seattle, WA",2020-12-31,2438.2936603176636,0.004523754119873269
"Seattle, WA",2021-01-31,2447.416833449176,0.003741621971130371
"Seattle, WA",2021-02-28,2459.243698666567,0.0048323869705200195
"Seattle, WA",2021-03-31,2473.503522554731,0.005798459053039551
"Seattle, WA",2021-04-30,2492.189386970831,0.007554411888122559
"Seattle, WA",2021-05-31,2513.8337367364147,0.008684873580932617
"Seattle, WA",2021-06-30,2534.805406000766,0.008342504501342995
"Seattle, WA",2021-07-31,2558.9519986170285,0.009526014328002708
"Seattle, WA",2021-08-31,2585.240060645058,0.010272979736328125
"Seattle, WA",2021-09-30,2612.0360979366997,0.010365009307861328
"Seattle, WA",2021-10-31,2630.9277712748644,0.007232546806335449
"Seattle, WA",2021-11-30,2651.1049099893207,0.007669210433959961
"Seattle, WA",2021-12-31,2667.998316125186,0.006372213363647461
"Seattle, WA",2022-01-31,2686.499295316132,0.006934404373168945
"Seattle, WA",2022-02-28,2706.4925366867255,0.007442116737365945
"Seattle, WA",2022-03-31,2726.1993300117715,0.007281303405761719
"Seattle, WA",2022-04-30,2750.879915362653,0.00905311107635498
"Seattle, WA",2022-05-31,2766.4805502014183,0.005671143531799316
"Seattle, WA",2022-06-30,2782.951920788744,0.0059539079666135475
"Seattle, WA",2022-07-31,2792.035669432514,0.0032640695571901635
"Seattle, WA",2022-08-31,2798.5276470922504,0.0023251771926882103
"Seattle, WA",2022-09-30,2803.1468179727635,0.0016505718231201172
"Seattle, WA",2022-10-31,2816.746173914898,0.0048514604568481445
"Seattle, WA",2022-11-30,2820.8380171474496,0.0014526844024658203
"Seattle, WA",2022-12-31,2833.548017964524,0.004505753517150657
"Seattle, WA",2023-01-31,2839.1961250650575,0.0019932985305788353
"Seattle, WA",2023-02-28,2856.4849264090285,0.006089329719543457
"Seattle, WA",2023-03-31,2860.323943688217,0.0013439655303955078
"Seattle, WA",2023-04-30,2867.632448676054,0.0025551319122314453
"Seattle, WA",2023-05-31,2875.8887718825295,0.0028791427612304688
"Seattle, WA",2023-06-30,2888.753224515925,0.004473209381103738
"Seattle, WA",2023-07-31,2899.9330738346566,0.0038701295852658912
"Seattle, WA",2023-08-31,2910.996131999832,0.0038149356842041016
"Seattle, WA",2023-09-30,2920.6425322699756,0.003313779830932617
"Seattle, WA",2023-10-31,2927.8099129807338,0.002454042434692383
"Seattle, WA",2023-11-30,2941.050416871109,0.0045223236083982155
"Seattle, WA",2023-12-31,2950.8093826439294,0.003318190574645996
"Seattle, WA",2024-01-31,2963.7701231748397,0.004392266273498535
"Seattle, WA",2024-02-29,2969.603960239805,0.0019683837890625
"Seattle, WA",2024-03-31,2985.6265524081855,0.00539553165435791
"Seattle, WA",2024-04-30,2997.3735078461114,0.003934502601623313
"Seattle, WA",2024-05-31,3010.792463897838,0.00447690486907959
"Seattle, WA",2024-06-30,3013.691415753843,0.0009628534317014381
"Seattle, WA",2024-07-31,3026.0776232081603,0.004109978675842285
"Seattle, WA",2024-08-31,3034.7886897456874,0.0028786659240722656
"Seattle, WA",2024-09-30,3052.1433984453656,0.005718588829040527
"Seattle, WA",2024-10-31,3054.981744289071,0.0009299516677856445
"Seattle, WA",2024-11-30,3071.2996562735575,0.0053414106369018555
"Seattle, WA",2024-12-31,3080.887069679832,0.00312161445617698
"Seattle, WA",2025-01-31,3093.287586073096,0.004024982452392356
"Seattle, WA",2025-02-28,3102.3565895229985,0.002931833267211914
"Seattle, WA",2025-03-31,3109.6633153992357,0.002355217933655007
"Seattle, WA",2025-04-30,3116.6903189028812,0.0022597312927246094
"Seattle, WA",2025-05-31,3123.199672348313,0.0020885467529296875
"Seattle, WA",2025-06-30,3134.797266346465,0.003713369369506836
"Seattle, WA",2025-07-31,3140.718494598549,0.001888871192932129
"Seattle, WA",2025-08-31,3149.3522236374365,0.0027489662170410156
"Seattle, WA",2025-09-30,3151.6228366221603,0.000720977783203125
"Seattle, WA",2025-10-31,3163.8816406497353,0.0038896799087526635
"Seattle, WA",2025-11-30,3163.744918669791,-4.3213367462269225e-05
"Seattle, WA",2025-12-31,3168.0006542652877,0.0013451576232910156
"Seattle, WA",2026-01-31,3169.0705511842443,0.0003377199172973633
